commodity,curval_total_exported,curval_total_imported,state,tmiles_total_exported,tmiles_total_imported,tons_total_exported,tons_total_imported,value_total_exported,value_total_imported
Paper articles,234.04380000000003,101.1587,Georgia,56.8288,48.2565,121.8639,20.053900000000002,227.76389999999998,98.42180000000002
Plastics/rubber,,1.1941000000000002,Georgia,,0.3503,,0.4113,,1.1772
Precision instruments,,28.1685,Georgia,,0.1412,,0.1792,,27.6293
Printed prods.,13.3378,26.5146,Georgia,1.6784999999999997,2.9809,2.219,3.0565999999999995,13.2767,26.3928
Textiles/leather,23.495199999999997,1.7519,Georgia,1.207,0.4464,0.5024,0.5843,23.0157,1.7162
Articles-base metal,,1.8189,Hawaii,,0.5147,,0.1441,,1.8167000000000002
Electronics,,4.3149999999999995,Hawaii,,2.4149000000000003,,0.5021,,4.3364
Furniture,0.5144,6.772200000000001,Hawaii,0.5663,4.1786,0.1244,1.6387999999999998,0.5037,6.6312
Meat/seafood,,0.0574,Hawaii,,0.0014,,0.00030000000000000003,,0.0527
Misc. mfg. prods.,0.0435,2.5956,Hawaii,0.0432,3.6066,0.0092,1.0068,0.042800000000000005,2.5523
Motorized vehicles,0.1938,0.2202,Hawaii,0.1228,0.1256,0.0344,0.03949999999999999,0.1891,0.2151
Paper articles,2.1101,2.1101,Hawaii,0.0093,0.0093,0.391,0.391,2.0533,2.0533
Precision instruments,,125.2305,Hawaii,,1.8098,,0.3777,,122.852
Transport equip.,,59.4754,Hawaii,,0.0009,,0.00030000000000000003,,57.4953
Articles-base metal,764.6333,764.6333,Idaho,5.7052,5.7052,327.88620000000003,327.88620000000003,763.8177000000001,763.8177000000001
Furniture,24.631999999999998,6.07,Idaho,5.3613,0.4383,2.6477,0.25980000000000003,24.1008,5.942
Misc. mfg. prods.,14.940000000000001,57.1706,Idaho,2.7664,37.7719,1.4971,20.9054,14.6903,56.2193
Mixed freight,0.7806,1.4169,Idaho,0.6226,1.358,0.29510000000000003,0.5357000000000001,0.7601,1.3796
Motorized vehicles,,6.170999999999999,Idaho,,4.9848,,3.4955,,6.0253
