,commodity,origin,tmiles_2012,tmiles_2013,tmiles_2014,tmiles_2015,tons_2012,tons_2013,tons_2014,tons_2015,value_2012,value_2013,value_2014,value_2015,curval_2013,curval_2014,curval_2015,tons_total,value_total,curval_total,tmiles_total
0,Alcoholic_beverages,AK,77.04189999999998,72.25139999999999,68.9403,66.3213,28.522199999999998,26.505599999999998,25.1269,24.154600000000002,32.5594,30.42590000000001,28.8794,27.718399999999995,30.963100000000004,29.621100000000002,28.563700000000004,104.30929999999996,119.5831,121.7073,284.55490000000003
1,Alcoholic_beverages,AL,31.119100000000003,26.0243,25.0404,24.7233,22.546499999999998,19.213899999999995,18.5849,18.455300000000005,116.3327,97.75409999999998,95.13800000000002,93.93409999999997,99.48010000000004,97.58149999999998,96.79859999999996,78.80059999999999,403.15889999999985,410.1928999999999,106.90709999999999
2,Alcoholic_beverages,AR,82.1421,85.3652,77.94699999999999,79.7898,86.02250000000005,91.83279999999996,86.27959999999999,88.84639999999996,376.7164,398.6650999999999,373.62980000000005,382.41849999999994,405.70390000000015,383.2255000000001,394.0815000000001,352.9813000000001,1531.4298,1559.7272999999998,325.2441000000001
3,Alcoholic_beverages,AZ,4.147200000000002,4.067800000000002,3.8015,3.7394000000000007,10.643899999999995,9.739899999999997,9.144100000000002,8.996600000000003,19.826399999999982,18.851399999999984,17.95309999999998,17.66359999999999,19.186499999999995,18.41459999999999,18.202699999999982,38.5245,74.29449999999999,75.63020000000002,15.755899999999999
4,Alcoholic_beverages,Africa,13.856604457597005,22.92920159034105,12.419999870477609,13.123523014002611,61.361795087107154,64.2181226036521,47.739579962136034,50.44450569674816,84.07543732425216,91.89003924445268,72.39606657447479,76.49998589524908,106.84979999999999,100.62650000000001,106.83000000000015,223.76400334964356,324.8615290384287,398.3817373242523,62.32932893241833
5,Alcoholic_beverages,CA,11059.446801253782,11709.34150114151,11844.582801088165,11631.099501385366,6118.5486037421215,6429.272803340387,6462.696703189037,6312.328303697306,10387.50410774158,10869.653907372727,10960.951407870849,10808.235206738875,11071.505099999982,11251.410699999973,11146.887599999976,25322.846413968742,43026.34462972412,43857.30750774148,46244.470604868984
6,Alcoholic_beverages,CO,3147.9465999999993,3215.703200000002,3239.2463000000007,3248.2587000000003,3066.479999999999,3115.8316000000027,3131.3783000000017,3145.8755000000006,2999.724800000003,3068.596500000003,3116.189000000002,3141.041300000001,3122.776800000001,3196.2197999999994,3236.835600000002,12459.565400000001,12325.551600000003,12555.557000000008,12851.154799999997
7,Alcoholic_beverages,CT,20.556999999999995,20.218899999999984,23.668999999999986,23.77569999999999,41.112700000000025,42.0378,42.89270000000003,42.99010000000003,71.88520000000001,72.59020000000004,73.08960000000003,73.16769999999997,74.1231,75.13880000000003,75.57669999999996,169.03330000000008,290.7326999999998,296.72379999999987,88.22060000000003
8,Alcoholic_beverages,Canada,488.28070160872346,528.986500494601,443.65690123535586,468.8046015348497,695.6669996787876,770.5489064016684,703.6023059187297,743.482907563948,660.6774859399924,738.5811070524398,648.1579046559682,684.8979056758125,796.3137000000006,709.1218999999991,752.8368,2913.301119563134,2732.3144033242093,2918.949885939988,1929.7287048735295
9,Alcoholic_beverages,DC,0.2925,0.0429,0.1388,0.1373,1.7124,1.3566,1.4335,1.4064,9.757,8.2113,8.7175,8.5533,8.3827,8.9435,8.8163,5.908899999999999,35.2391,35.89949999999999,0.6115
10,Alcoholic_beverages,DE,29.841900000000003,28.150699999999997,28.230300000000003,28.5608,39.3483,39.458200000000005,41.0135,41.97779999999999,66.3955,67.41149999999999,70.2818,72.15500000000002,68.60150000000002,72.08670000000002,74.3558,161.7978,276.2438,281.4395,114.78369999999998
11,Alcoholic_beverages,Eastern Asia,36.465500340784274,37.777200082253174,35.50110420030601,37.51360419865795,98.46269212145184,86.41748838007516,89.31336300684987,94.37718757494599,149.28166439605292,145.75376467585508,141.02148990009408,149.01509033141366,168.29000000000022,159.60990000000024,169.45050000000026,368.570731083322,585.0720093034156,646.6320643960535,147.25740882200122
12,Alcoholic_beverages,Europe,1354.2862548211674,1264.7503148125004,1286.9503377201117,1359.8986806919904,3705.3263078556,3419.6493506876973,3320.698954512513,3508.9276766556914,9811.097890165547,8938.148722345859,8570.445238406724,9056.24670241314,10807.922799999995,10403.452899999997,11044.765099999999,13954.602289711473,36375.93855333125,42067.23869016555,5265.885588045786
13,Alcoholic_beverages,FL,666.8096933826489,720.2152030154263,721.4434065870649,736.3658974338654,966.7335470772497,1043.3697148322149,1050.347967900016,1071.4916651464166,1452.3752179434202,1526.0659612561287,1735.6072614712707,1751.59413696087,1566.9551000000004,1796.0824999999995,1821.1642999999997,4131.9428949559,6465.642577631684,6636.57711794342,2844.8342004190104
14,Alcoholic_beverages,GA,1130.3191999999992,1137.8959000000002,1126.6623999999995,1112.2028,2039.1220000000017,2104.7200000000003,2096.8905000000004,2086.639800000001,1875.4676999999988,1937.864799999999,1930.3619999999983,1924.5018000000005,1972.0811000000006,1979.9375999999995,1983.1947000000005,8327.372299999997,7668.1963,7810.681099999997,4507.080299999997
15,Alcoholic_beverages,HI,17.3064034141,16.317903240000003,16.38469805,15.85820524,5.006900085000003,4.559695850100003,4.5407971861000025,4.382199189100002,14.095806257999996,12.635863210999998,12.463107384099995,11.949895244099995,14.041999999999994,14.049999999999999,13.519099999999998,18.489592310300004,51.14467209720001,55.70690625799998,65.86720994410003
