orig,dest,category,ktons_2012,ton_miles_2012,million_dollars_2012,ktons_2013,ton_miles_2013,million_dollars_2013,ktons_2014,ton_miles_2014,million_dollars_2014,ktons_2015,ton_miles_2015,million_dollars_2015
Alaska,Canada,Meat/seafood,17.007,17.6248,74.1414,17.7979,24.4279,81.3327,11.3427,14.543,54.1803,10.9157,13.9496,52.1373
Alaska,Canada,Other foodstuffs,0.0021,0.0051,0.003,0.1041,0.2548,0.1487,0.1635,0.4003,0.2336,0.1535,0.3757,0.2192
Alaska,Canada,Alcoholic beverages,0.1363,0.3389,0.2253,0.0059,0.016,0.0098,0,0,0,0,0,0
Alaska,Canada,Building stone,0.0345,0.0845,0.0054,0,0,0,0,0,0,0,0,0
Alaska,Canada,Natural sands,0.7265,0.0166,0.0162,0,0,0,0,0,0,0,0,0
Alaska,Canada,Nonmetallic minerals,0.0735,0.18,0.0057,0,0,0,0,0,0,0,0,0
Alaska,Canada,Metallic ores,150.1521,11.2275,238.7588,995.2595,74.4194,1582.575,342.9156,25.6411,545.2744,337.7725,25.2566,537.0964
Alaska,Canada,Gasoline,28.6969,2.301,24.9678,21.8489,1.7519,19.0023,15.5742,1.2488,13.5452,17.0154,1.3644,14.7986
Alaska,Canada,Fuel oils,72.1137,8.201,49.8247,88.7081,10.0882,61.2901,106.9301,12.1604,73.88,120.6226,13.7176,83.3404
Alaska,Canada,Coal-n.e.c.,142.8990619,11.76921306,24.3082465,143.1095539,11.78655215,24.38846758,115.1038216,9.47986406,19.83029272,115.1330709,9.48242053,19.83399325
Alaska,Canada,Basic chemicals,0.0038,0.0093,0.0084,0.0033,0.0081,0.0073,0.0043,0.0104,0.0094,0.0041,0.01,0.009
Alaska,Canada,Chemical prods.,0.0091,0.026,0.0438,0.1186,0.4465,0.5558,0.1015,0.4128,0.4735,0.101,0.4109,0.471
Alaska,Canada,Plastics/rubber,0.4132,1.5505,1.3857,0.1573,0.5954,0.5234,0.133,0.4807,0.5334,0.133,0.4822,0.5331
Alaska,Canada,Logs,2.4432,0.2485,2.5966,0.3319,0.0299,0.3547,1.6232,2.9332,5.8327,1.6908,3.0589,6.0826
Alaska,Canada,Wood prods.,39.6866,86.7816,1.727,50.7366,110.7862,2.3559,25.1166,54.883,1.0286,24.914,54.4409,1.0201
Alaska,Canada,Newsprint/paper,0.0165,0.0404,0.0135,0.0109,0.0266,0.0089,0.0012,0.0029,0.001,0.0012,0.0029,0.001
Alaska,Canada,Paper articles,0.0014,0.0002,0.0036,0,0,0,0,0,0,0,0,0
Alaska,Canada,Printed prods.,0.005,0.002900044,0.085300022,0.0032,0.002699956,0.076200044,0.004599999,0.002800022,0.195799978,0.004499999,0.002700011,0.187499967
Alaska,Canada,Textiles/leather,0.0053,0.0184,0.0592,0.0484,0.1665,0.49,0.0421,0.1549,0.4669,0.0426,0.1574,0.4696
Alaska,Canada,Nonmetal min. prods.,0.1393,0.229,0.1158,0.0451,0.0985,0.0394,0.0331,0.0446,0.0315,0.0349,0.047,0.0328
Alaska,Canada,Base metals,0.4245,1.5926,0.6329,0.3176,1.2278,0.4717,0.1969,0.7087,0.2927,0.2045,0.7362,0.3041
Alaska,Canada,Articles-base metal,1.006701,0.883302415,3.238202822,0.89380079,0.745601907,2.602602228,1.124201781,1.997004301,3.376605025,1.141001795,2.042104337,3.427605067
Alaska,Canada,Machinery,1.268101,1.326902448,14.92650784,1.839001631,2.553403993,18.51121279,2.579401012,2.509102478,22.96620794,2.572701007,2.516302466,22.9067079
Alaska,Canada,Electronics,0.0939,0.21170045,3.127597296,0.046799559,0.124500367,3.010295225,0.074300337,0.180099828,4.195499237,0.073700331,0.179199808,4.128499012
Alaska,Canada,Motorized vehicles,1.585,5.5611,13.0208,1.01,2.8247,8.2974,0.3696,1.3529,3.0383,0.3797,1.3846,3.1209
Alaska,Canada,Transport equip.,0.9094,0.382399773,31.86059964,0.8922,0.411499955,30.35409982,1.673400003,0.980099964,52.14329955,1.600400003,0.928599973,49.90670009
Alaska,Canada,Precision instruments,0.2201,0.0828,11.3265,0.1755,0.3024,9.3687,0.2468,0.0846,13.5308,0.2482,0.0851,13.7022
Alaska,Canada,Furniture,0.046,0.0393,0.2626,0.0058,0.0051,0.3399,0.0019,0.0023,0.0802,0.0019,0.0024,0.0821
Alaska,Canada,Misc. mfg. prods.,0.3457,0.8807,30.1178,0.0712,0.1604,24.0206,0.047,0.1099,14.1816,0.0465,0.1096,13.9347
Arizona,Canada,Live animals/fish,0.169,0.2789,0.4059,0.3347,0.5532,0.8031,0.1994,0.3256,0.4791,0.206,0.3359,0.4944
Arizona,Canada,Cereal grains,1.1194,2.401,0.4377,0.8655,1.8563,0.3384,1.1311,2.4258,0.4422,1.1509,2.4684,0.45
Arizona,Canada,Other ag prods.,258.9202,495.9988,332.6825,276.9874,524.0793,355.9149,252.7312,475.1459,324.7339,250.1411,468.7043,321.4067
Arizona,Canada,Animal feed,2.2917,4.5,1.8814,4.5683,8.9108,3.7505,3.7191,7.2909,3.0427,3.7319,7.3159,3.0528
Arizona,Canada,Meat/seafood,0.0922,0.1568,0.4533,0.1299,0.2244,0.6387,0.3275,0.5641,1.6105,0.3275,0.5641,1.6106
Arizona,Canada,Milled grain prods.,1.4799,2.7236,2.3454,0.7799,1.4066,1.2363,0.8736,1.5711,1.3845,0.9087,1.6275,1.4401
Arizona,Canada,Other foodstuffs,25.832405,49.51420729,36.93310711,32.59770625,62.44190911,47.5136089,36.27660739,68.81521078,53.59891051,36.71040751,69.45941093,54.22161069
Arizona,Canada,Alcoholic beverages,0.0254,0.0528,0.0419,0.027,0.0561,0.0445,0.0262,0.0545,0.0431,0.0267,0.0555,0.044
Arizona,Canada,Tobacco prods.,0.249999951,0.69890029,2.7449436,1.02429943,2.44439755,11.1283959,1.81549998,4.3174014,19.7281023,1.69940023,4.04159866,18.5140011
