orig,dest,category,ktons_2012,ton_miles_2012,million_dollars_2012,ktons_2013,ton_miles_2013,million_dollars_2013,ktons_2014,ton_miles_2014,million_dollars_2014,ktons_2015,ton_miles_2015,million_dollars_2015
Europe,Arizona,Machinery,-12.58280287,-12.5086045,-635.9026901,-9.200901662,-8.036902375,-531.6965826,-12.48850212,-11.15690384,-626.7306146,-13.34010215,-11.91750407,-669.4503649
Europe,Arizona,Electronics,-13.14380028,-8.427600956,-505.5601524,-5.118199984,-3.202299974,-429.7989002,-7.098800465,-4.368800518,-551.2102942,-7.542600515,-4.642099476,-585.6621958
Europe,Arizona,Motorized vehicles,-3.000699989,-2.692699561,-43.57110068,-2.194900038,-2.123699679,-31.22729965,-3.514599941,-2.846499945,-53.7150953,-3.635700005,-2.944600018,-55.57130497
Europe,Arizona,Transport equip.,-0.620800032,-1.208699956,-68.69789842,-0.1831,-0.1805,-33.44950003,-0.887299986,-2.011299998,-74.99809893,-0.929999965,-2.109199999,-78.64079786
Europe,Arizona,Precision instruments,-1.150299965,-1.269999945,-176.8718632,-1.123399583,-1.193599948,-165.0330121,-0.95229977,-0.969999991,-148.9526799,-1.013800225,-1.03249994,-158.5911335
Europe,Arizona,Furniture,-2.04009993,-1.323699963,-37.2699993,-3.161399631,-1.888399702,-41.60000097,-2.842099734,-1.948399846,-46.77620452,-3.079799755,-2.11069978,-50.68490655
Europe,Arizona,Misc. mfg. prods.,-2.14390004,-1.557799676,-209.7528,-2.46799856,-1.921499623,-218.7491997,-2.26639903,-1.912899702,-248.3011002,-2.42999896,-2.051399697,-266.2947003
Europe,Arizona,Waste/scrap,-0.684699562,-0.967499661,-5.418600243,-0.0211,-0.0075,-1.7639,-0.7309,-1.537600003,-2.9264,-0.7479,-1.573600003,-2.995
Europe,Arizona,Mixed freight,-8.772481964,-4.29640028,-103.9553096,-6.909291601,-3.572095839,-66.8861764,-8.723587609,-4.218152132,-102.2718612,-8.840605612,-4.274719921,-103.6411872
Europe,Arkansas,Live animals/fish,-0.0009,-0.0002,-0.0647,-0.0007,-0.0001,-0.0375,-0.0006,-0.0001,-0.0309,-0.0006,-0.0001,-0.0318
Europe,Arkansas,Cereal grains,-0.3518,-0.3963,-0.3828,-0.019,-0.0214,-0.0207,-0.002,-0.0021,-0.0018,-0.0021,-0.0022,-0.0019
Europe,Arkansas,Other ag prods.,-0.3013,-0.4636,-1.3323,-0.0249,-0.0383,-0.1166,-0.0012,-0.0018,-0.0197,-0.0013,-0.0019,-0.0207
Europe,Arkansas,Animal feed,-0.2992,-0.2253,-1.3965,-0.252700005,-0.1797,-1.658,-0.2622,-0.1937,-1.344300025,-0.2683,-0.1981,-1.37490005
Europe,Arkansas,Meat/seafood,-0.0025,-0.0026,-0.0022,-0.0013,-0.0013,-0.0011,-0.001,-0.001,-0.0009,-0.0011,-0.0011,-0.001
Europe,Arkansas,Milled grain prods.,-0.5501,-0.3633,-0.7828,-0.3537,-0.2688,-0.629,-0.7322,-0.5021,-1.1021,-0.7587,-0.5203,-1.142
Europe,Arkansas,Other foodstuffs,-0.5368,-0.4406,-1.0085,-1.1286,-0.9617,-2.0699,-0.9029,-0.7397,-1.6692,-0.9483,-0.7769,-1.7531
Europe,Arkansas,Alcoholic beverages,-5.3691,-4.8767,-17.943,-5.7597,-6.5672,-20.1274,-2.5899,-2.7764,-9.3554,-2.7369,-2.9339,-9.8857
Europe,Arkansas,Nonmetallic minerals,-0.0011,-0.000200002,-0.002499973,0,0,0,0,0,0,0,0,0
Europe,Arkansas,Fuel oils,-0.0584,-0.0659,-0.0212,-0.3075,-0.2982,-0.4695,-0.6017,-0.5127,-1.4421,-0.4194,-0.3573,-1.0052
Europe,Arkansas,Coal-n.e.c.,-0.027174571,-0.017357362,-0.004129594,-7.09E-06,-6.38E-06,-2.46E-06,-1.68E-05,-1.51E-05,-5.81E-06,-1.73E-05,-1.55E-05,-6.02E-06
Europe,Arkansas,Basic chemicals,-4.8888,-3.2979,-29.4731,-6.0673,-4.3422,-32.6242,-3.4909,-2.3309,-19.8394,-3.6402,-2.4304,-20.688
Europe,Arkansas,Pharmaceuticals,-0.3051,-0.3416,-1.3902,-0.3438,-0.3872,-1.3202,-0.2462,-0.2756,-1.085,-0.2655,-0.2975,-1.1706
Europe,Arkansas,Fertilizers,-0.3625,-0.405,-1.4165,-0.356,-0.3914,-2.3349,-0.1286,-0.1312,-1.6709,-0.1311,-0.1337,-1.7028
Europe,Arkansas,Chemical prods.,-2.246699537,-1.848999952,-6.4788022,-3.129100185,-2.410499952,-6.82080532,-6.216800842,-5.307800028,-12.91039901,-6.581899893,-5.619899554,-13.66910065
Europe,Arkansas,Plastics/rubber,-4.301199299,-3.16230046,-23.20073433,-3.701899791,-2.847499988,-19.46816368,-4.067000294,-3.109299805,-22.68651062,-4.313200095,-3.297399909,-24.05864159
Europe,Arkansas,Wood prods.,-1.4369,-1.4504,-1.9776,-1.717,-1.6335,-3.3828,-3.1973,-3.2424,-4.3416,-3.2725,-3.3191,-4.4441
Europe,Arkansas,Newsprint/paper,-1.2554,-1.444,-2.1682,-0.5446,-0.6741,-0.7442,-1.8086,-2.0812,-3.411,-1.8598,-2.1401,-3.507
Europe,Arkansas,Paper articles,-0.7479,-0.6404,-3.6786,-0.3617,-0.3079,-1.3389,-0.3648,-0.307,-1.5936,-0.3786,-0.3186,-1.6545
Europe,Arkansas,Printed prods.,-0.0663,-0.0529,-0.4133,-0.0408,-0.0294,-0.1988,-0.0025,-0.001,-0.1712,-0.0026,-0.0011,-0.1797
Europe,Arkansas,Textiles/leather,-1.715,-1.7179,-9.4532,-3.0445,-2.9193,-16.1273,-3.0295,-3.0513,-15.798,-3.2663,-3.2894,-17.0308
Europe,Arkansas,Nonmetal min. prods.,-3.744502893,-2.920401805,-6.466063111,-4.721702643,-3.227201182,-7.636847025,-3.544000815,-3.007999698,-8.66680989,-3.761701561,-3.193199694,-9.199384194
Europe,Arkansas,Base metals,-157.7997,-96.0661,-157.095,-124.4498,-72.4858,-112.4992,-48.5328,-28.2388,-42.7739,-50.0469,-29.1197,-44.1087
Europe,Arkansas,Articles-base metal,-14.00659993,-7.095899878,-53.86407609,-12.70329654,-5.703000385,-35.63067747,-6.371000495,-3.999300266,-41.64499255,-6.829300236,-4.28699954,-44.64244238
Europe,Arkansas,Machinery,-50.46120466,-40.86149979,-243.4914889,-50.35350447,-38.73499976,-82.45328291,-54.35630314,-42.19049953,-113.2564492,-58.06130336,-45.06679957,-120.9759594
Europe,Arkansas,Electronics,-8.07140173,-7.758299919,-124.2356651,-4.172900797,-4.177000077,-68.84383376,-4.641400369,-4.628800042,-73.11179269,-4.931500451,-4.918200063,-77.68210472
Europe,Arkansas,Motorized vehicles,-2.345000424,-2.16020031,-22.44620215,-3.211500276,-3.023699974,-33.93288163,-4.432303021,-3.825397391,-41.43424416,-4.585604059,-3.957797679,-42.86615604
Europe,Arkansas,Transport equip.,-54.4981,-3.8435,-1487.1066,-33.623,-2.375,-921.8842,-49.5678,-3.5032,-1354.5666,-51.9759,-3.6732,-1420.3701
Europe,Arkansas,Precision instruments,-1.13600045,-1.024500005,-26.53715522,-1.300500145,-1.179600042,-28.71122545,-2.245099994,-2.152799983,-33.95999806,-2.39000002,-2.292399989,-36.15770182
Europe,Arkansas,Furniture,-0.3267,-0.2793,-11.0864,-0.2634,-0.1963,-6.005,-0.2756,-0.2176,-6.7425,-0.2986,-0.2357,-7.3057
Europe,Arkansas,Misc. mfg. prods.,-1.278799958,-0.882500011,-150.0886039,-2.257100025,-1.383300042,-320.6904173,-1.213699968,-0.785700036,-181.3047999,-1.301899969,-0.843000043,-194.4433033
Europe,Arkansas,Waste/scrap,-0.3146,-0.1701,-1.3572,-0.0546,-0.019,-0.4724,-3.1292,-1.7648,-7.1002,-3.2023,-1.806,-7.2661
Europe,Arkansas,Mixed freight,-0.093,-0.0512,-4.6395,-0.0976,-0.0559,-4.6977,-0.0583,-0.0366,-3.0891,-0.0591,-0.0373,-3.1302
Europe,California,Live animals/fish,-0.4632,-0.0619,-16.4113,-0.6095,-0.0798,-21.689797,-0.6878,-0.0858,-24.480398,-0.7087,-0.0887,-25.2353
Europe,California,Cereal grains,-3.296799918,-3.535100415,-4.090795137,-12.85910338,-13.33159648,-14.70180356,-9.373704819,-8.087797178,-15.19079608,-9.68439531,-8.355797417,-15.69469695
Europe,California,Other ag prods.,-41.91055955,-31.55500895,-168.0566093,-52.5144702,-49.89469443,-161.0305587,-70.41063569,-36.94651771,-237.8800572,-74.13244337,-38.89951456,-250.4520998
Europe,California,Animal feed,-8.615405877,-5.242101767,-71.1047289,-10.75540843,-7.292301208,-108.9349058,-10.87750824,-10.61150105,-66.9563077,-11.12620799,-10.8542011,-68.48412068
Europe,California,Meat/seafood,-24.65946513,-15.69089569,-124.8866011,-28.03215851,-12.0857005,-146.5534276,-32.91336652,-11.51269993,-172.7159188,-35.37299081,-12.37300322,-185.6197994
Europe,California,Milled grain prods.,-107.0282044,-47.86040505,-191.7791227,-107.8449983,-53.49010147,-196.7406106,-104.9271963,-49.39200126,-189.6382072,-108.7307034,-51.18200513,-196.5112187
Europe,California,Other foodstuffs,-1028.497747,-1394.936411,-1855.563041,-1091.669733,-1485.558509,-2129.708431,-1180.286092,-1634.123563,-2132.586697,-1239.684757,-1716.362072,-2239.9113
Europe,California,Alcoholic beverages,-629.4996051,-268.8653381,-1552.80475,-552.5582776,-247.0785222,-1362.483325,-490.7243764,-220.5581095,-1236.964547,-518.5401261,-233.0607158,-1307.079735
Europe,California,Tobacco prods.,-0.044599981,-0.017699998,-1.110700892,-0.039299957,-0.041499995,-2.082101277,-0.0679,-0.109000004,-0.967399944,-0.070700125,-0.113600004,-1.009699951
Europe,California,Building stone,-0.741699612,-0.20390042,-0.308700247,-11.47910778,-1.079207296,-3.47100086,-6.5239004,-9.448999476,-18.96439889,-7.17960365,-10.39899991,-20.87140426
Europe,California,Natural sands,-1.3219,-0.0794,-0.163,-0.0988,-0.0023,-0.0187,-0.1021,-0.0024,-0.0193,-0.1016,-0.0024,-0.0192
Europe,California,Gravel,-6.8601,-0.2086,-0.1381,-0.3951,-0.0093,-0.0064,-0.4163,-0.0098,-0.0068,-0.3938,-0.0093,-0.0064
Europe,California,Nonmetallic minerals,-16.00950078,-5.548104267,-6.731702207,-17.79540287,-5.533199639,-7.568103888,-71.23479995,-11.32610516,-27.43729438,-74.32550639,-11.81770111,-28.62810084
Europe,California,Metallic ores,-0.0881,-0.0474,-0.0132,0,0,-0.0024,-0.0054,-0.0155,-0.0057,-0.0054,-0.0156,-0.0057
Europe,California,Crude petroleum,-1514.0613,-88.6263,-1006.532,-1523.4106,-71.5003,-1009.473,-1030.9904,-64.4275,-684.3013,-994.901,-61.3071,-660.2909
Europe,California,Gasoline,-108.3556001,-34.07800001,-104.0054001,-1.770300001,-3.4084,-2.283100001,-16.4106,-47.7653,-17.5558,-19.4451,-56.5996,-20.7563
Europe,California,Fuel oils,-1672.480201,-274.9840005,-1183.736602,-1471.078101,-432.1735005,-1060.507302,-608.0196003,-99.02120013,-423.2806004,-423.7911002,-69.01750009,-295.1500003
Europe,California,Coal-n.e.c.,-6.245864851,-4.316179463,-0.94897163,-0.000530404,-0.000108842,-0.000183734,-0.001255924,-0.000257726,-0.000434825,-0.001292079,-0.000265142,-0.000450663
Europe,California,Basic chemicals,-59.83995197,-31.68110436,-570.8449329,-51.72186931,-25.49260385,-504.6503107,-48.26215831,-22.85590224,-566.6653645,-50.32647309,-23.83340524,-590.8995665
Europe,California,Pharmaceuticals,-3.966500168,-7.951800416,-2963.794605,-5.190200268,-11.44770052,-3206.630294,-5.899600754,-12.55990046,-3873.273272,-6.366100313,-13.55160047,-4178.946086
Europe,California,Fertilizers,-489.6574468,-49.38082884,-123.912882,-103.7373789,-10.96940608,-22.92580934,-39.17942155,-4.475196592,-22.13460163,-39.92842166,-4.560600694,-22.55700341
Europe,California,Chemical prods.,-59.36133096,-41.25409475,-902.6646551,-50.99826596,-34.07449767,-816.0432735,-48.97369647,-53.68790175,-792.72791,-51.85164161,-56.84239942,-839.3115394
Europe,California,Plastics/rubber,-69.49915129,-52.23350148,-485.4460955,-63.87179557,-44.61910459,-456.2396356,-85.64981716,-68.52570093,-560.9050368,-90.83177529,-72.67039843,-594.8336049
Europe,California,Logs,-2.7687,-5.4123,-0.5789,-1.7642,-2.858,-0.4378,-5.9182,-10.4701,-1.3457,-6.4952,-11.4906,-1.4771
Europe,California,Wood prods.,-196.8015538,-23.61310098,-385.585108,-211.5135789,-25.63860414,-399.4127638,-239.3759258,-28.12081726,-457.9636822,-245.0246564,-28.78391246,-468.7713282
Europe,California,Newsprint/paper,-55.2265404,-17.8591048,-69.59084314,-59.86964436,-13.85119525,-75.72304731,-57.31434962,-14.77129587,-68.51045292,-58.93285102,-15.18879604,-70.44495443
Europe,California,Paper articles,-5.296605298,-1.467299817,-24.10269888,-2.741500491,-0.982000021,-12.96799767,-2.649200614,-0.961800104,-12.67040117,-2.749999958,-0.998500047,-13.15260351
Europe,California,Printed prods.,-4.765600152,-5.34620055,-56.57380052,-5.08360103,-5.175001019,-52.37280282,-4.641100788,-4.098800862,-48.16709757,-4.877900967,-4.307900822,-50.62429808
Europe,California,Textiles/leather,-19.86600364,-13.18710036,-521.0656025,-18.80439722,-11.58379998,-516.0046837,-19.58109698,-12.55070031,-577.0553582,-21.10989243,-13.53010007,-622.0920836
Europe,California,Nonmetal min. prods.,-275.2810781,-75.01830714,-381.6727857,-298.6816672,-89.01260778,-400.418504,-320.6765373,-69.33310689,-419.6635481,-340.3710783,-73.59160029,-445.4370817
Europe,California,Base metals,-101.4719462,-51.09159891,-342.9678839,-70.10850367,-26.46949904,-259.3744944,-261.1059723,-73.53291697,-873.781008,-269.2536279,-75.82672377,-901.0433588
