,state,total_ktons_se,total_current_m_dollar_se,total_m_dollar_se,total_ton_mile_se,total_ktons_si,total_current_m_dollar_si,total_m_dollar_si,total_ton_mile_si,net_total_ktons,net_total_m_dollar,net_total_current_m_dollar,net_total_ton_mile
39,Rhode Island,104186.30095157903,135058.81289999996,141896.06978719,7816.812880320025,98257.45040976943,119783.13189999986,123273.27474058999,10816.403645650045,5927,18621,15275,-2998
40,South Carolina,487472.65258008544,483637.4375000013,477596.30573316093,90532.98163767053,604023.2868510014,563531.0494999995,551751.5562603693,160027.03138081395,-116549,-74153,-79891,-69492
41,South Dakota,365421.0322040004,166574.71609999982,175475.39559999993,109462.06179800001,338748.9421393004,171742.41370000015,178406.03759634003,68341.20454462006,26670,-2929,-5166,41120
42,Tennessee,829853.7899110948,1005940.2313000022,982944.1034220473,197452.0351720257,858551.4573711084,941231.4157000028,926334.9954254804,235458.93171166,-28696,56608,64708,-38005
43,Texas,6056210.481627664,5596851.846700002,5783809.515306534,1493458.7317086526,5962472.413409366,5499379.056299987,5681935.10337898,1610429.2812351673,93737,101873,97472,-116968
44,Utah,421081.88138139434,383073.1661,384757.2130300004,128403.86514922994,394919.5426887252,415202.88439999917,416716.8193079607,120659.72375440958,26161,-31958,-32129,7743
45,Vermont,70544.71885493018,75996.62910000002,73415.84818150003,11872.554101830025,86086.78963356988,80966.40969999999,80950.46564860006,11697.174234850028,-15541,-7533,-4968,175
46,Virginia,753752.687870415,767074.8988,750476.4065338519,127556.3931450629,863797.8757017227,912476.3106000018,892831.7312826213,198618.64061279927,-110043,-142354,-145400,-71060
47,Washington,685486.5946898081,870873.9526000011,861944.9516929623,165973.74930910981,768709.0081005213,905345.8426999998,904048.7094489908,282260.6963778392,-83221,-42102,-34470,-116285
48,West Virginia,610275.286157401,202309.04970000003,200757.64677388014,181145.32088331965,431236.2515169152,241064.04420000018,242097.0800907599,106737.58744035198,179037,-41338,-38754,74406
49,Wisconsin,884949.1139225059,970468.3615000007,958099.3171635917,196435.2542227413,1005870.3604722351,938272.7871,922817.5728136697,293094.2101721986,-120920,35280,32193,-96657
50,Wyoming,1476361.2453020008,168014.27770000018,177128.98480000006,1550829.4163900013,386318.79789999826,153131.24540000016,158758.29939999984,128769.00969999982,1090042,18369,14881,1422058
