state_origin,total_ktons_se,total_current_m_dollar_se,total_m_dollar_se,total_ton_mile_se,total_ktons_si,total_current_m_dollar_si,total_m_dollar_si,total_ton_mile_si,net_total_ktons,net_total_m_dollar,net_total_current_m_dollar,net_total_ton_mile
Michigan,161622.14525661172,329764.8608,318267.89625594905,33679.62738872008,215594.4488776418,306438.9269999999,295572.0395131285,70726.88333001969,-53972,22695,23325,-37047
Minnesota,447600.68311474466,308194.882699999,305045.0735456481,140862.50679439958,445493.30353752925,299093.38270000083,298151.77020074,136077.35040713564,2107,6893,9101,4785
Mississippi,442406.633983521,309983.0258999994,299949.7258822012,113821.26873283077,460981.0273061108,315505.3406999996,303658.9058291197,125794.58040573112,-18574,-3709,-5522,-11973
Missouri,275893.91011053143,276424.8688999992,266449.45802178973,62532.287064979835,336589.27326024283,299187.6996000001,290226.59970552014,121325.52753188025,-60695,-23777,-22762,-58793
Montana,118835.95340035036,42439.73239999993,43924.62523549984,81519.45999617003,61546.824213439584,51465.7586,52387.20305700007,26720.255828319874,57289,-8462,-9026,54799
Nebraska,266354.99660472065,146935.2282999999,146308.38101289014,96486.67668110036,270460.1376105911,153776.57010000068,151917.10263955058,67902.6648797306,-4105,-5608,-6841,28584
Nevada,76053.7868936201,77590.4987000001,74360.79248325991,19088.410784429987,89005.5494473795,105499.60120000012,90856.24463505008,27472.275976364966,-12951,-16495,-27909,-8383
New Hampshire,36453.63476779113,45008.72189999991,43794.38357473985,4124.811332411042,46408.520501589395,63946.10230000001,62492.19211299989,6949.15587633202,-9954,-18697,-18937,-2824
New Jersey,283849.5856991734,489198.39439999865,465935.8995944695,40325.70952879972,297776.95863627066,394393.1365999981,382449.920778402,61507.970930471136,-13927,83485,94805,-21182
New Mexico,131258.27310000072,68780.26089999988,68323.00680000019,38304.37569999994,113174.16170094263,78964.12649999993,77853.86176859005,26711.901216131013,18084,-9530,-10183,11592
New York,440098.3706382965,580621.8436999993,556833.5672523709,56701.041642439566,489029.9255274613,643196.8754999983,611053.2945675878,72149.25510051983,-48931,-54219,-62575,-15448
North Carolina,300352.99272684543,426077.88970000093,394880.1480907712,56826.3743926786,351038.6212948017,370368.4438000006,356219.2056567105,90053.97438991885,-50685,38660,55709,-33227
North Dakota,238198.5214010009,108058.64469999989,112697.87831000022,119184.45329999992,152394.7021000005,74742.8575000001,75941.3632999998,36771.60290000004,85803,36756,33315,82412
Ohio,546684.3060431925,619912.352500001,602786.8828713312,102165.93114308252,618115.3890359827,632828.3384999993,615985.428730805,155959.81983165885,-71431,-13198,-12915,-53793
Oklahoma,353535.0758888729,221932.07569999952,216995.90202896006,102014.55275910001,299224.7350440417,223251.9691,215867.65115703986,86674.8441848297,54310,1128,-1319,15339
Oregon,146229.8158494913,135586.09279999984,129449.82405254991,40964.26262295987,154798.70057885378,158527.4295999995,151876.46348110973,49796.699499769966,-8568,-22426,-22941,-8832
Pennsylvania,516253.23506976373,482536.481200001,461313.1476486313,115247.8368318188,470193.20721643185,449924.5447000024,430644.4017308292,122259.4870030002,46060,30668,32611,-7011
Rhode Island,34918.718109319685,47599.01840000004,47649.922230949946,2616.360366740016,33034.81547587976,41814.98399999999,41334.03005578,3621.599804660014,1883,6315,5784,-1005
South Carolina,164238.344669932,165054.65029999995,160089.36656714036,30313.382175320192,204466.0572678108,193155.55959999972,185114.21495124942,54393.79158026237,-40227,-25024,-28100,-24080
South Dakota,124079.50980000004,57104.619799999826,59064.77469999991,36723.44949699996,114336.00689840021,58721.4466,59743.71017121999,22636.93832632005,9743,-678,-1616,14086
Tennessee,276621.7361172747,343319.53140000027,329087.4172322793,65783.90595743673,288026.4601061732,319895.2882000022,308467.96962476935,78982.26017196981,-11404,20619,23424,-13198
Texas,2026856.612391226,1967813.797599993,1930593.8275708626,495683.1262300292,2001797.65993297,1929308.686199996,1900396.9246770844,541613.9069995399,25058,30196,38505,-45930
Utah,140716.9265700689,131711.92090000006,127919.61195000034,42605.14082927996,132633.3964489493,143359.20179999984,139496.3067737502,40482.51190016986,8083,-11576,-11647,2122
Vermont,23613.049371420042,25833.450399999998,24510.74605559999,3959.7028013100085,28776.593585999923,27992.33450000003,27009.855206499993,3893.5308845700088,-5163,-2499,-2158,66
Virginia,255754.65690726173,261802.30380000029,251294.03984196036,43037.68779915499,292206.4165651908,310901.9137000008,298300.46870691,66918.59947737967,-36451,-47006,-49099,-23880
Washington,228238.45270302353,297270.68770000135,287361.87582385016,55670.09847719984,255626.52166878068,307628.5405000004,299224.5070601104,94055.89495120975,-27388,-11862,-10357,-38385
West Virginia,207734.28599570028,70745.74859999993,67556.73044538006,62171.37106306985,142594.53751703983,82386.88660000001,79504.12195039006,34964.50445037997,65139,-11947,-11641,27206
Wisconsin,297553.50533770234,332150.2332999997,320641.9490282309,65677.3535213376,339341.0214995911,320741.2997999996,308418.9806326588,99482.20254809936,-41787,12222,11408,-33804
Wyoming,503296.927905,60113.085500000074,58589.63600000006,532702.7710000003,128214.8333999994,54061.171100000036,52596.36229999998,42526.00389999986,375082,5993,6051,490176
