state_origin,total_ktons_se,total_current_m_dollar_se,total_m_dollar_se,total_ton_mile_se,total_ktons_si,total_current_m_dollar_si,total_m_dollar_si,total_ton_mile_si,net_total_ktons,net_total_m_dollar,net_total_current_m_dollar,net_total_ton_mile
Alabama,316340.3709105011,251710.04259999876,239640.23038920076,76132.7580733002,342385.5293117305,274002.3907000004,259916.37374238015,101359.25645490903,-26045,-20276,-22292,-25226
Alaska,90546.68231830002,60933.518699999986,60741.1490825998,99201.49459269988,57745.07842338947,48681.75069999991,45537.89429570991,18206.56449013,32801,15203,12251,80994
Arizona,158236.22186445413,160764.74800000092,154630.83076860008,35785.69824347988,183423.07929934043,214000.51019999987,203997.8026136624,57733.81854851971,-25186,-49366,-53235,-21948
Arkansas,257313.55830363193,152481.66089999976,146207.18268393926,62197.72293380952,251962.4905908415,171560.9461999991,162396.94085990987,63927.45115755262,5351,-16189,-19079,-1729
California,984244.0591120948,1569270.4029999932,1499903.1943986646,237170.6318628418,1084812.6214673615,1399848.4319000181,1356465.9668790158,382328.96845543757,-100568,143437,169421,-145158
Colorado,330841.81712900236,206673.16129999972,200598.7287522006,92497.96175399986,288890.8550203518,214935.12020000067,208239.5446461293,68747.26101006969,41950,-7640,-8261,23750
Connecticut,121579.67549322244,201313.8909999997,195133.00734225012,23486.64521245996,117991.46370695723,172537.6542000004,166208.41578782987,19345.478754209977,3588,28924,28776,4141
Delaware,40923.295478000095,45206.74639999995,43948.00139699991,3681.0255850000153,55025.66368624142,51494.8216,50483.76444569993,8603.638518211017,-14102,-6535,-6288,-4922
District of Columbia,6458.989100000013,4622.992499999998,4497.856800000005,712.6759000000009,7354.3336244600505,21262.921200000015,19762.293110900067,900.717737729998,-895,-15264,-16639,-188
Florida,532636.308950214,464120.2490000015,447892.59557433036,88407.26692158465,611117.2815659973,583901.8849999963,564932.7326226464,143378.90698455845,-78480,-117040,-119781,-54971
Georgia,375081.11133021547,438544.9740000016,419301.9125304896,73088.66987303004,413864.87254934426,447689.3615000016,419898.3967982505,121940.11748472796,-38783,-596,-9144,-48851
Hawaii,40024.57740291988,26592.29940000007,24578.37872867002,4079.1220995800095,42443.415800419425,36980.709999999955,34010.07596647003,11463.357117920032,-2418,-9431,-10388,-7384
Idaho,97855.4671326004,55702.74219999995,54268.198191590054,40215.142394139926,81966.05154829379,60121.354499999965,57732.0132324,21153.70922176998,15889,-3463,-4418,19061
Illinois,793521.1951926283,878175.5673999989,852467.2000714365,177121.07096074763,826526.3019788959,762263.3759000001,743627.7503339049,233130.2695961489,-33005,108839,115912,-56009
Indiana,437993.09044129646,439680.39499999996,433233.428684029,91843.2001119401,491713.58363466564,434509.25399999926,424730.51007122296,118810.15527325466,-53720,8502,5171,-26966
Iowa,428461.51468994166,243837.0144999991,240848.53110269076,110927.27962239031,397370.46013732103,228134.43800000052,225513.35094880013,86777.5404031997,31091,15335,15702,24149
Kansas,297193.85053187987,241155.2578000001,239729.48515625007,88268.30544007881,287918.4133324144,227108.76710000093,223969.92934862035,80539.90463910966,9275,15759,14046,7728
Kentucky,358986.1855458704,280385.7634,274941.4224162097,116747.06331597985,324686.27607641544,269128.5664000001,262644.83892724063,103940.18793420498,34299,12296,11257,12806
Louisiana,601069.9600533459,357115.339399999,358823.03707554884,171403.31353860092,572923.704747902,376012.21750000125,376119.3520345896,198932.0670505412,28146,-17296,-18896,-27528
Maine,64969.711594203574,41909.88139999995,40864.03460665996,10235.56744687102,58825.07727123951,49403.04279999995,48011.60631000009,8106.705603550042,6144,-7147,-7493,2128
Maryland,270258.55719142104,331933.98240000097,321378.68303187133,34567.761544439745,318381.34256097506,394775.03019999794,377750.1425281102,68069.80416065695,-48122,-56371,-62841,-33502
Massachusetts,150906.71363035016,243114.37440000018,233926.79026595133,16595.797824049852,170539.85723180723,275378.9411999993,264519.5726793914,29338.23678205505,-19633,-30592,-32264,-12742
