state_origin,total_ktons_se,total_current_m_dollar_se,total_m_dollar_se,total_ton_mile_se,total_ktons_si,total_current_m_dollar_si,total_m_dollar_si,total_ton_mile_si,net_total_ktons,net_total_m_dollar,net_total_current_m_dollar,net_total_ton_mile
Alabama,314340.8106953118,242246.11310000008,243433.36074379963,76320.41729699979,341087.8960266959,262815.7055000018,265663.34567431,100773.45086756333,-26747,-22229,-20569,-24453
Alaska,96240.15481260014,40943.20820000008,64613.263740600116,106958.36122409998,60357.002844229675,38852.640399999924,47846.45562544989,19033.50230428004,35883,16766,2090,87924
Arizona,161963.58715625393,160386.5163999991,158391.4231189508,36716.73586202987,188020.93907085375,213235.75249999983,209592.73026125066,58589.75542981008,-26057,-51201,-52849,-21873
Arkansas,261978.0751120217,143055.33659999992,149798.39229673022,63614.99973940981,256751.58266015118,164175.18660000054,167822.06633056028,65053.05334037577,5226,-18023,-21119,-1438
California,999182.3283922969,1529652.9415999989,1538791.0126813122,240872.15129248763,1103980.3704248262,1337402.9991000076,1387375.9657774852,390217.58930307796,-104798,151415,192249,-149345
Colorado,334935.19131400355,196427.22450000086,207537.82169420004,93487.76687799979,286995.4813505831,204643.9047000001,210273.3747196093,67662.22761573,47939,-2735,-8216,25825
Connecticut,123375.57489512897,191701.13510000004,197863.95031600844,23632.701576639975,119912.2718670927,167648.51629999978,169824.8199115213,19802.318773829928,3463,28039,24052,3830
Delaware,41852.23665199999,44289.7514,45838.341594999976,3787.734987999996,56330.45358304548,48971.36920000003,51535.036545300034,9048.889217513013,-14478,-5696,-4681,-5261
District of Columbia,6675.355300000006,4574.462199999998,4621.674300000003,727.5324999999993,7443.7147947200465,21151.335799999964,20038.55817109998,910.36773647,-768,-15416,-16576,-182
Florida,533589.6052151644,451118.8143999984,457065.4375482691,89438.05844016984,610608.7479121829,559487.7026999948,570765.3957337999,142734.356944794,-77019,-113699,-108368,-53296
Georgia,380080.0465796348,430676.11229999963,429626.15090859204,75070.01862227973,415225.85101351887,435277.48369999987,426433.0717487486,120992.60503484694,-35145,3193,-4601,-45922
Hawaii,39760.8677817499,23400.408999999992,24929.81808892001,4092.460535240002,42667.403326559535,33896.0787,34839.34678469992,12890.912899809988,-2906,-9909,-10495,-8798
Idaho,99578.56473728093,52799.672800000044,55111.524213720004,40723.984196299956,83486.72618326383,58748.3175,59178.47048740003,21710.594321320008,16091,-4066,-5948,19013
Illinois,801807.6973314486,834230.6183000006,871158.6686626055,180843.2442990925,824342.9822118799,714465.4024999992,754439.352342298,228153.36416451444,-22535,116719,119765,-47310
Indiana,445141.0948166387,428367.2295999986,445585.98015120084,94037.04756875058,491376.1829817621,407949.5487999994,431485.4905945485,117465.534857865,-46235,14100,20417,-23428
Iowa,438131.19501353044,234307.83149999898,245292.4841376602,114199.03565610027,400839.2064708204,221849.7857999995,230989.7970420399,84770.15478799977,37291,14302,12458,29428
Kansas,299155.981975224,225719.8662000008,244584.09574855023,89505.350518315,290120.97336187423,210197.15929999936,229434.10469377044,80926.2709796,9035,15149,15522,8579
Kentucky,351255.0307673208,271983.472,281633.7063766506,112885.77439679054,336365.037771009,263552.99480000086,274854.5291655798,107077.57861667966,14889,6779,8430,5808
Louisiana,615281.8891158929,294520.4789999993,365209.8721094106,177172.18908180099,589150.2485909668,319936.61529999936,388745.13549897,203539.8475520459,26131,-23535,-25416,-26367
Maine,66701.87410975699,39549.24409999994,41753.33031796997,10542.023146827014,60205.328931379336,47025.51930000001,49440.56551000004,8314.737801720023,6496,-7687,-7476,2227
Maryland,277302.8661273567,322134.6601000002,328455.9588110798,35517.523191240056,323110.0883409323,384799.90070000046,386235.5151589305,70654.68205751103,-45807,-57779,-62665,-35137
Massachusetts,153706.73605840246,234957.07459999993,240189.47013787975,16946.44036634991,173239.35704244144,261699.2733000009,268592.30294876016,29887.286614733992,-19532,-28402,-26742,-12940
Michigan,164075.95586872284,330453.58719999966,326589.1538086095,34158.638130539046,219245.73551545225,299698.0172999999,302898.92225042864,69255.40896634945,-55169,23690,30755,-35096
Minnesota,451297.9132594788,303783.5801000009,315521.19552133034,140841.0089701099,448344.16770399816,280877.36560000037,304449.6514464514,134639.70692489124,2953,11071,22906,6201
