state_origin,total_ktons_se,total_current_m_dollar_se,total_m_dollar_se,total_ton_mile_se,total_ktons_si,total_current_m_dollar_si,total_m_dollar_si,total_ton_mile_si,net_total_ktons,net_total_m_dollar,net_total_current_m_dollar,net_total_ton_mile
Mississippi,458060.1716536118,295121.89190000034,307868.5284909993,116791.09157358024,478837.1153377415,298518.21199999977,312575.6622792117,129344.95641860101,-20776,-4707,-3396,-12553
Missouri,282869.78808194096,273559.8538000012,271664.08584493113,63931.06413649969,339358.7531139239,292448.4448999998,297310.1972087196,116440.09215152886,-56488,-25646,-18888,-52509
Montana,116676.85079961034,34567.81290000001,44678.06369289995,77440.85639572005,62643.91876343962,44616.19550000004,53381.08469600002,27265.145970699876,54032,-8703,-10048,50175
Nebraska,273464.30270062055,139232.09679999945,149057.0139866801,97806.78177799989,278685.26103582204,148300.07659999988,156848.83411187952,68831.11069004465,-5220,-7791,-9067,28975
Nevada,77819.92932836003,74974.38399999977,75024.18878645998,19594.71773785998,91045.82875855979,104591.01249999975,93332.94425906047,28243.7831537,-13225,-18308,-29616,-8649
New Hampshire,37143.01041076996,43066.908299999835,44809.81537124977,4175.286529793033,47473.74578091954,60605.88679999994,64397.370422999935,7121.904837782032,-10330,-19587,-17538,-2946
New Jersey,291212.66588602465,466604.0980000002,467243.3519665896,39971.58804346978,311116.5785391701,382663.3867000008,398715.2905002506,63663.97851727692,-19903,68528,83940,-23692
New Mexico,132316.65910000083,55965.92330000005,69166.6691,39962.29089999988,113040.32990412167,71846.57459999998,79969.10236788003,27472.98801977999,19276,-10802,-15880,12489
New York,449682.4861169165,570742.4918999993,569540.8478533982,58290.41277129343,498607.75906036544,637946.3125000007,627820.4545639426,74103.1537393399,-48925,-58279,-67203,-15812
North Carolina,305440.095078592,428228.0610000005,406512.29372426076,58462.203068316616,350969.905268194,362988.69920000085,361801.23487902165,90148.9977152106,-45529,44711,65239,-31686
North Dakota,241750.55759500051,82593.9964999999,115264.85254999995,122677.78420000005,153986.69690000065,72182.52190000014,78301.64080000002,38015.81570000002,87763,36963,10411,84661
Ohio,558811.7361771236,604593.3999000002,614334.7985392929,104244.22467686958,629471.7034144573,612486.4415000022,630565.7442940465,160072.14763194136,-70659,-16230,-7893,-55827
Oklahoma,347164.5971177027,187982.84680000012,219800.93922936972,103286.56550722005,291477.03514551074,201656.51029999982,221890.57444094014,85392.41635851486,55687,-2089,-13673,17894
Oregon,149634.95214015126,135031.37160000007,134323.68915860017,42730.612648889946,155937.1537370477,153742.89099999986,153502.33255548018,49975.121082230005,-6302,-19178,-18711,-7244
Pennsylvania,520734.1208416319,465553.991900002,469570.8572515988,117058.69907377657,472285.0531876919,435066.5715000016,436850.37462422886,123166.28953786014,48449,32720,30487,-6107
Rhode Island,35662.14020171965,41156.63629999997,48081.613259200036,2643.0821074900014,33880.44794558967,37871.05179999994,42211.21796601002,3763.641158190019,1781,5870,3285,-1120
South Carolina,164502.7629768819,162313.18470000025,163348.1213544707,30679.876477570233,204613.31715853774,186941.06509999963,187975.9520361402,54502.831276031764,-40110,-24627,-24627,-23822
South Dakota,127164.90900200012,54053.41449999994,60764.935800000014,37977.66369700005,116632.18316430009,55179.751100000074,60837.17819010008,22896.633203460016,10532,-72,-1126,15081
Tennessee,285827.5570875719,333959.62200000184,332863.28551749,67564.15220740731,293899.0568403428,315508.35159999994,317708.73386548035,81148.13753218036,-8071,15154,18451,-13583
Texas,2045695.2818403295,1701116.1615000025,1970969.329449573,516860.81636153365,1989863.2752549725,1668450.959599994,1916138.9472203876,533128.647261269,55832,54830,32665,-16267
Utah,142399.42883736527,124514.00399999987,131735.7555999999,43827.12314791988,133607.20742707542,134612.4396999996,141799.49669933986,40973.845032529876,8792,-10063,-10098,2853
Vermont,23903.238834150066,25317.757200000033,24686.94056430001,4009.7588994900098,29452.379241359984,26320.337299999945,27975.910299600033,4033.291195820009,-5549,-3288,-1002,-23
Virginia,250582.78017738237,255020.27529999995,254246.4944855108,42729.600467963915,290544.3113116014,307732.31250000064,306767.34520956024,68041.14301885989,-39961,-52520,-52712,-25311
Washington,234013.54051967207,288254.05000000045,295646.5316287611,56400.69849442998,264596.8958286903,297070.5917999997,310206.15317106055,99835.11963609932,-30583,-14559,-8816,-43434
West Virginia,204045.26097940045,65050.853499999976,68033.27096490996,60198.63465749979,150724.5732858597,80927.34020000008,86261.68067672983,38437.31286062109,53320,-18228,-15876,21761
Wisconsin,300196.92561135907,318719.30270000023,325109.7640948503,66730.61704391512,337084.3973994918,311982.47609999904,315864.564233361,95218.5225681996,-36887,9245,6736,-28487
Wyoming,461912.3893020009,47701.5131000001,59326.00990000006,479937.2435000009,127056.13869999959,45660.25400000008,53504.109199999926,42733.42119999997,334856,5821,2041,437203
