code,region,state
'471','Memphis, TN-MS-AR  CFS Area (TN Part)','Tennessee'
'472','Nashville-Davidson--Murfreesboro, TN  CFS Area','Tennessee'
'479','Rest of TN','Tennessee'
'483','Corpus Christi-Kingsville-Alice, TX  CFS Area','Texas'
'484','Dallas-Fort Worth, TX-OK  CFS Area (TX Part)','Texas'
'485','El Paso-Las Cruces, TX-NM  CFS Area (TX Part)','Texas'
'486','Houston-The Woodlands, TX  CFS Area ','Texas'
'481','Austin-Round Rock, TX  CFS Area','Texas'
'482','Beaumont-Port Arthur, TX  CFS Area','Texas'
'487','Laredo, TX   CFS Area','Texas'
'488','San Antonio-New Braunfels, TX  CFS Area','Texas'
'489','Rest of TX','Texas'
'491','Salt Lake City-Provo-Orem, UT  CFS Area','Utah'
'499','Rest of UT','Utah'
'500','Vermont','Vermont'
'512','Virginia Beach-Norfolk, VA-NC  CFS Area (VA Part)','Virginia'
'511','Richmond, VA  CFS Area','Virginia'
'513','Washington-Arlington-Alexandria, DC-VA-MD-WV  CFS Area (VA Part)','Virginia'
'519','Rest of VA','Virginia'
'532','Portland-Vancouver-Salem, OR-WA  CFS Area (WA Part)','Washington'
'531','Seattle-Tacoma, WA  CFS Area','Washington'
'539','Rest of WA','Washington'
'540','West Virginia','West Virginia'
'551','Milwaukee-Racine-Waukesha, WI  CFS Area','Wisconsin'
'559','Rest of WI','Wisconsin'
'560','Wyoming','Wyoming'
