,fr_orig,dms_orig,dms_dest,fr_dest,fr_inmode,dms_mode,fr_outmode,sctg2,trade_type,tons_2012,tons_2013,tons_2014,tons_2015,tons_2020,tons_2025,tons_2030,tons_2035,tons_2040,tons_2045,value_2012,value_2013,value_2014,value_2015,value_2020,value_2025,value_2030,value_2035,value_2040,value_2045,tmiles_2012,tmiles_2013,tmiles_2014,tmiles_2015,tmiles_2020,tmiles_2025,tmiles_2030,tmiles_2035,tmiles_2040,tmiles_2045,curval_2013,curval_2014,curval_2015
940195,804.0,171,202,,4.0,4,,33,2,0.0276,0.063,0.1112,0.1192,0.1419,0.1624,0.185,0.2116,0.2451,0.281,0.5379,1.2286,2.1669,2.3229,2.765,3.1647,3.6056,4.1232,4.7761,5.476,0.0154,0.0352,0.062,0.0665,0.0791,0.0906,0.1032,0.11800000000000001,0.1367,0.1567,1.227,2.1758,2.3235
170436,808.0,132,473,,3.0,1,,8,2,0.1661,0.1463,0.1225,0.1295,0.182,0.2462,0.3305,0.4461,0.6156,0.7335,0.281,0.2476,0.2073,0.21899999999999997,0.3078,0.4165,0.5591,0.7547,1.0414,1.2408,0.0686,0.0605,0.0506,0.0535,0.0752,0.1017,0.1366,0.1843,0.2544,0.3031,0.2519,0.2126,0.2257
1548657,808.0,512,183,,3.0,1,,40,2,0.1231,0.1742,0.2025,0.2171,0.2791,0.3462,0.42700000000000005,0.5298,0.6698,0.8034,0.2494,0.3529,0.4102,0.4399,0.5654,0.7013,0.8652,1.0733,1.357,1.6276,0.0898,0.1271,0.1477,0.1584,0.2036,0.2525,0.3115,0.3864,0.4886,0.586,0.3566,0.4169,0.4504
245946,802.0,482,363,,3.0,1,,19,2,0.037464,0.029289,0.035931,0.03705,0.042626,0.049302,0.056799,0.065474,0.075879,0.08737400000000001,0.0037609,0.0029401999999999996,0.0036069,0.0037193000000000005,0.004279,0.0049492,0.0057018,0.006572700000000001,0.007617199999999999,0.0087711,0.058194,0.045495999999999995,0.055813,0.057551,0.066213,0.076583,0.088228,0.1017,0.11787,0.13572,0.0030605,0.0039915,0.0031269
746869,804.0,401,401,,4.0,1,,30,2,0.0014,0.002,0.0023,0.0025,0.0031,0.0037,0.0045,0.0055,0.006999999999999999,0.0082,0.0244,0.0354,0.0403,0.0435,0.0534,0.065,0.0788,0.0967,0.1219,0.14300000000000002,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0357,0.0415,0.0445
225013,,472,131,805.0,,4,4.0,17,3,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0011,0.0007,0.0008,0.0007,0.0008,0.001,0.0012,0.0014,0.0017,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0007,0.0004
1117329,,372,363,,,1,,35,1,2.2326,2.4522,2.5503,2.7004,3.4578,4.2188,5.0232,5.912999999999999,6.9153,7.9771,113.0147,124.1289,129.0967,136.6937,175.0321,213.5564,254.2743,299.3193,350.0555,403.8025,1.2957,1.4232,1.4801,1.5672,2.0068,2.4485,2.9153,3.4318,4.0135,4.6297,123.8678,128.6657,135.4383
1544618,807.0,500,500,,4.0,1,,40,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.018000000000000002,0.001,0.0011,0.0014,0.0017,0.0021,0.0026,0.0033,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0182,0.001,0.0011
101968,,491,321,,,5,,6,1,8.8707,9.275,9.5717,10.155,11.4516,12.6371,13.7614,14.9279,16.0007,17.5347,4.086,4.2722,4.4089,4.6776,5.2748,5.8209,6.3387,6.876,7.3702,8.0768,4.9506,5.1763,5.3418,5.6674,6.391,7.0526,7.6801,8.3311,8.9298,9.7859,4.3468,4.4841,4.7213
1232521,,491,329,,,5,,36,1,1.0,1.0676,1.1112,1.1858,1.3163,1.4203,1.5259,1.6228,1.7135,1.7926,13.668,14.5922,15.187999999999999,16.2069,17.9911,19.4131,20.8553,22.1798,23.4202,24.5008,0.3504,0.374,0.3893,0.4154,0.4612,0.4976,0.5346,0.5685,0.6003,0.628,14.7383,15.5348,16.8321
1054786,808.0,132,489,,3.0,3,,34,2,0.0438,0.0005,0.0538,0.0575,0.07400000000000001,0.0913,0.1122,0.139,0.1761,0.2152,0.1509,0.0016,0.1855,0.1981,0.2549,0.3145,0.3865,0.4789,0.6069,0.7412,0.0703,0.0008,0.0864,0.0923,0.1187,0.1465,0.1801,0.2231,0.2827,0.3454,0.0016,0.1903,0.2051
809889,803.0,121,223,,3.0,5,,31,2,0.1405,0.1679,0.1467,0.1557,0.1934,0.2372,0.2918,0.3632,0.4627,0.5567,0.2473,0.2954,0.2582,0.27399999999999997,0.3403,0.4173,0.5134,0.6392,0.8142,0.9795,0.0919,0.1098,0.096,0.1019,0.1265,0.1551,0.1909,0.2376,0.3027,0.3641,0.3044,0.2745,0.2978
636048,804.0,392,131,,3.0,1,,28,2,0.0024,0.0016,0.0078,0.0081,0.0096,0.0111,0.0128,0.0147,0.0171,0.0198,0.0065,0.0044,0.021,0.0218,0.026000000000000002,0.0301,0.0346,0.0398,0.0464,0.0537,0.0017,0.0011,0.0055,0.0057,0.0068,0.0079,0.0091,0.0104,0.0122,0.0141,0.0045,0.0217,0.0225
1566639,,421,111,804.0,,4,4.0,40,3,0.0052,0.0052,0.0058,0.0056,0.0072,0.0096,0.0122,0.0158,0.0221,0.0254,0.4254,0.4266,0.4773,0.4588,0.5929,0.7884,1.0,1.2933,1.8103,2.0799,0.0008,0.0008,0.0009,0.0009,0.0012,0.0016,0.002,0.0026,0.0036,0.0041,0.431,0.485,0.4697
297554,807.0,452,62,,4.0,4,,20,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0004,0.0005,0.0006,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0002
1390849,,42,124,804.0,,4,4.0,38,3,0.0004,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0849,0.1985,0.0004,0.0004,0.0007,0.001,0.0015,0.0022,0.0035,0.004,0.0007,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2006,0.0004,0.0004
1526152,803.0,64,64,,3.0,1,,40,2,0.0437,0.1199,0.0504,0.054000000000000006,0.0694,0.0861,0.1063,0.1318,0.1667,0.1999,0.1447,0.3969,0.1668,0.1789,0.2299,0.2852,0.3518,0.4365,0.5519,0.6619,0.0007,0.0019,0.0008,0.0008,0.0011,0.0013,0.0016,0.002,0.0026,0.0031,0.401,0.1695,0.1832
33087,804.0,488,342,,4.0,4,,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0003,0.0003,0.0003,0.0004,0.0005,0.0007,0.0008,0.0011,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0003,0.0003
1478269,,269,20,808.0,,4,4.0,39,3,0.0002,0.002,0.0005,0.0005,0.0007,0.0009,0.0012,0.0016,0.0023,0.0027,0.0072,0.0712,0.0176,0.0174,0.0234,0.0323,0.0429,0.0572,0.0822,0.0963,0.0006,0.0058,0.0014,0.0014,0.0019,0.0026,0.0035,0.0046,0.0066,0.0078,0.0717,0.018000000000000002,0.018000000000000002
793108,,12,12,,,1,,31,1,584.6417,616.6497,606.8105,593.0411,597.2319,560.0062,556.7288,555.8762,560.0369,567.5072,156.3249,164.8834,162.2525,158.5708,159.6914,149.7377,148.8614,148.6334,149.7459,151.7434,12.628,13.3194,13.1069,12.8095,12.9,12.0959,12.0251,12.0067,12.0966,12.258,169.9204,172.5145,172.3046
562092,804.0,61,513,,3.0,5,,26,2,0.4628,2.0979,4.4255,4.53,5.3205,6.2693,7.3559,8.6526,10.2951,12.177,0.2334,1.058,2.2319,2.2846,2.6832,3.1618,3.7097,4.3637,5.192,6.1411,1.3941,6.3197,13.3313,13.6461,16.0271,18.8854,22.1585,26.0647,31.0125,36.6815,1.1272,2.4807,2.5132
1542720,807.0,363,512,,3.0,3,,40,2,0.0035,0.0033,0.0036,0.0038,0.0049,0.0061,0.0075,0.0093,0.0118,0.0141,0.0254,0.0242,0.0258,0.0277,0.0356,0.0442,0.0545,0.0676,0.0854,0.1025,0.0013,0.0013,0.0013,0.0014,0.0018,0.0023,0.0028,0.0035,0.0044,0.0053,0.0244,0.0262,0.0284
547247,,124,379,,,1,,26,1,3.8679,4.4503,4.7605,4.659,5.301,5.9137,6.6398,7.1681,7.6599,7.6121,1.8385,2.1153,2.2628,2.2145,2.5197,2.8109,3.1561,3.4071,3.6409,3.6182,2.7778,3.1961,3.4188,3.3459,3.807,4.247,4.7685,5.1478,5.501,5.4667,2.2537,2.5152,2.4362
469421,,531,49,,,1,,24,1,0.1756,0.1826,0.1887,0.1828,0.2061,0.2147,0.221,0.2269,0.2345,0.2518,0.3612,0.3755,0.3882,0.376,0.424,0.4416,0.4546,0.4668,0.4824,0.5179,0.2724,0.2832,0.2927,0.2835,0.3197,0.33299999999999996,0.3428,0.35200000000000004,0.3638,0.3906,0.3821,0.4029,0.3711
